단어	빈도	백분율
========================================
  1. 연기               1,129 ( 0.62%)
  2. 최고               1,059 ( 0.59%)
  3. 스토리                914 ( 0.51%)
  4. 생각                 886 ( 0.49%)
  5. 감동                 858 ( 0.47%)
  6. 드라마                855 ( 0.47%)
  7. 사람                 852 ( 0.47%)
  8. 보고                 845 ( 0.47%)
  9. 하는                 822 ( 0.45%)
 10. 감독                 728 ( 0.40%)
 11. 재미                 717 ( 0.40%)
 12. 시간                 714 ( 0.39%)
 13. 그냥                 682 ( 0.38%)
 14. 내용                 673 ( 0.37%)
 15. 배우                 656 ( 0.36%)
 16. 이런                 640 ( 0.35%)
 17. 없는                 606 ( 0.33%)
 18. 쓰레기                585 ( 0.32%)
 19. 작품                 550 ( 0.30%)
 20. 하나                 540 ( 0.30%)
 21. 다시                 508 ( 0.28%)
 22. 사랑                 498 ( 0.28%)
 23. 봤는데                484 ( 0.27%)
 24. 이건                 480 ( 0.27%)
 25. 정도                 469 ( 0.26%)
 26. 마지막                464 ( 0.26%)
 27. 같은                 450 ( 0.25%)
 28. 있는                 440 ( 0.24%)
 29. 액션                 438 ( 0.24%)
 30. 좋은                 434 ( 0.24%)
 31. 완전                 420 ( 0.23%)
 32. 최악                 419 ( 0.23%)
 33. 입니다                416 ( 0.23%)
 34. 처음                 411 ( 0.23%)
 35. 보는                 406 ( 0.22%)
 36. 지금                 398 ( 0.22%)
 37. 장면                 394 ( 0.22%)
 38. 주인공                393 ( 0.22%)
 39. 느낌                 387 ( 0.21%)
 40. 역시                 383 ( 0.21%)
