단어	빈도	백분율
========================================
  1. 연기               1,129 ( 0.63%)
  2. 최고               1,059 ( 0.59%)
  3. 스토리                914 ( 0.51%)
  4. 생각                 886 ( 0.50%)
  5. 감동                 858 ( 0.48%)
  6. 드라마                855 ( 0.48%)
  7. 사람                 852 ( 0.48%)
  8. 보고                 845 ( 0.47%)
  9. 하는                 822 ( 0.46%)
 10. 감독                 728 ( 0.41%)
 11. 재미                 717 ( 0.40%)
 12. 시간                 714 ( 0.40%)
 13. 내용                 673 ( 0.38%)
 14. 배우                 656 ( 0.37%)
 15. 이런                 640 ( 0.36%)
 16. 없는                 606 ( 0.34%)
 17. 쓰레기                585 ( 0.33%)
 18. 작품                 550 ( 0.31%)
 19. 하나                 540 ( 0.30%)
 20. 다시                 508 ( 0.28%)
 21. 사랑                 498 ( 0.28%)
 22. 봤는데                484 ( 0.27%)
 23. 이건                 480 ( 0.27%)
 24. 정도                 469 ( 0.26%)
 25. 마지막                464 ( 0.26%)
 26. 같은                 450 ( 0.25%)
 27. 있는                 440 ( 0.25%)
 28. 액션                 438 ( 0.24%)
 29. 좋은                 434 ( 0.24%)
 30. 최악                 419 ( 0.23%)
 31. 입니다                416 ( 0.23%)
 32. 처음                 411 ( 0.23%)
 33. 보는                 406 ( 0.23%)
 34. 지금                 398 ( 0.22%)
 35. 장면                 394 ( 0.22%)
 36. 주인공                393 ( 0.22%)
 37. 느낌                 387 ( 0.22%)
 38. 역시                 383 ( 0.21%)
 39. 연출                 382 ( 0.21%)
 40. 봐도                 382 ( 0.21%)
